水素
ヘリウム
リチウム
ベリリウム
ホウ素
炭素
窒素
酸素
フッ素
ネオン
ナトリウム
マグネシウム
アルミニウム
ケイ素
リン
硫黄
塩素
アルゴン
カリウム
カルシウム
